time,lat,lon,Solar_Radiation_Flux,Cloud_Cover_Mean_24h,elevation
2024-04-12,-26.0,16.5,21.410544,0.15548016,1742
2024-12-14,57.9,71.9,1.280718875,0.9010075,109
2024-09-27,-8.3,-72.6,11.681878,0.9173083,218
2024-04-16,34.3,-1.5,27.542588,0.021619882,1145
2024-03-12,-11.7,27.0,17.967862,0.8965412,1359
2024-07-07,35.7,113.4,14.214847,0.82544065,1346
2024-01-21,51.3,72.4,5.598899,0.22590053,404
2024-04-12,62.5,-129.6,16.735529,0.8178679,1305
2024-05-01,17.2,-11.5,27.249542,0.036690075,197
2024-08-02,-27.1,152.1,16.949676,0.06247301,418
2024-11-26,48.8,116.2,5.413745,0.7144554,829
2024-03-28,-18.2,36.7,19.475354,0.44535974,6
2024-04-09,-44.8,169.6,6.181224,0.7798704,737
2024-12-25,-39.9,-65.6,32.229358,0.027533973,179
2024-05-31,-43.9,-67.4,4.3380355,0.6937158,267
2024-05-10,-32.6,140.3,13.84258,0.1268884,279
2024-05-29,-5.6,-52.7,18.416158,0.87611663,191
2024-11-04,22.1,-84.6,19.326392,0.10275792,1
2024-09-14,53.5,95.6,10.40465,0.9116916,1222
2024-12-09,52.5,60.6,3.36007725,0.51198804,326
2024-10-20,13.7,34.6,20.375598,0.7483723,442
2024-07-10,64.9,14.4,19.742186,0.81155586,651
2024-10-03,56.6,135.6,8.790923,0.44829503,467
2024-06-09,50.0,51.2,23.446716,0.4027496,10
2024-11-09,23.0,105.8,14.339907,0.38642156,636
2024-01-22,-11.4,-49.3,23.905596,0.7714218,274
2024-09-09,3.8,-66.7,20.860318,0.7459225,129
2024-08-23,60.5,165.3,16.880254,0.2605693,293
2024-12-10,41.5,116.6,6.899061,0.70691407,1293
2024-02-18,52.0,85.6,7.0293775,0.96739787,325
2024-02-28,-26.1,16.8,27.25623,0.16178405,1414
2024-06-18,43.5,-108.7,26.910652,0.38442084,2335
2024-07-06,-15.4,16.6,19.727962,0.010220024,1356
2024-09-27,43.1,94.2,12.782638,0.7589675,3276
2024-07-08,4.9,118.1,20.569894,0.92911357,277
2024-06-23,60.5,103.6,9.040588,0.8498871,368
2024-02-20,-10.3,-58.0,9.862878,0.9744463,348
2024-12-29,9.7,39.4,23.982544,0.24154994,2644
2024-02-24,44.3,-100.8,14.539239,0.20772812,585
2024-08-31,27.3,95.6,6.5307435,0.9883515,162
2024-11-15,-1.5,121.3,18.796228,0.835101,1111
2024-05-10,81.8,-55.3,21.812004,0.8032522,653
2024-11-02,51.3,-73.8,4.10060375,0.9169792,383
2024-05-14,22.3,90.4,22.673954,0.17226088,5
2024-01-21,20.5,44.2,17.020326,0.07853249,756
2024-11-24,80.2,-45.3,0.0,0.91115135,2034
2024-06-15,37.7,30.5,30.852694,0.06712601,1371
2024-09-30,3.1,-57.0,22.450118,0.48188108,242
2024-03-29,43.3,101.2,19.483546,0.40797645,1504
2024-11-11,59.3,40.9,3.0344255,0.40307996,152
2024-01-14,76.6,-80.4,0.0,0.29018825,624
2024-08-29,-18.0,23.0,22.78923,0.0030721833,985
2024-09-21,0.1,-57.6,23.002556,0.5487738,174
2024-12-11,29.2,3.4,10.52452,0.58882046,419
2024-02-22,33.0,-113.0,18.668586,0.5677416,237
2024-12-05,45.7,-73.1,4.08251425,0.84021634,32
2024-04-01,11.3,-12.9,24.289868,0.24188799,767
2024-09-20,49.0,20.7,17.419254,0.06820737,778
2024-02-04,52.6,115.6,7.4416585,0.2861926,864
2024-07-24,-3.9,-73.8,14.920411,0.6072265,122
2024-03-21,32.4,-108.4,23.736534,0.0845564,1774
2024-02-19,-14.0,32.9,24.226394,0.34977666,1072
2024-12-25,67.2,169.8,0.0767103515625,0.26478028,691
2024-01-02,50.2,-113.3,4.543789,0.66627145,965
2024-02-23,22.1,-100.1,20.349328,0.5439367,1048
2024-04-15,21.6,2.3,27.694082,0.17140506,470
2024-09-16,-15.2,-39.4,17.332302,0.43277633,312
2024-11-05,28.5,-97.5,9.415533,0.36957216,57
2024-07-09,45.8,11.6,27.221338,0.24406934,907
2024-08-05,54.8,56.4,6.651223,0.71114033,145
2024-02-13,44.4,-118.9,11.82337,0.090152584,1178
2024-06-10,70.9,74.1,15.445551,0.9085217,50
2024-07-20,39.0,-83.3,23.065196,0.42919308,291
2024-09-26,13.0,79.1,15.290684,0.939891,368
2024-12-16,38.7,102.7,9.833762,0.15087996,1366
2024-10-30,29.0,30.1,17.61828,0.020434927,91
2024-09-27,61.9,5.8,7.5659795,0.722631,373
2024-08-02,-7.2,31.0,23.400446,0.056399107,1359
2024-09-08,7.9,123.9,19.858654,0.5835746,407
2024-07-08,52.1,-114.3,27.20665,0.26579475,953
2024-10-22,65.7,20.6,2.4779605,0.6084063,153
2024-07-31,1.6,-66.5,19.732138,0.59002644,105
2024-07-26,13.6,-10.4,15.633767,0.7988139,236
2024-08-24,-9.2,-58.5,17.371132,0.26215956,253
2024-12-03,16.4,13.1,20.31483,0.24769162,405
2024-02-22,49.6,117.1,12.53955,0.0026401542,772
2024-10-06,-36.1,-59.7,22.246854,0.70665306,53
2024-08-04,56.8,104.3,12.359248,0.6735504,540
2024-09-08,46.5,-100.0,20.900612,0.14536606,587
2024-07-06,-2.0,116.3,16.115785,0.7477083,15
2024-02-10,-29.2,26.7,30.049116,0.1405622,1418
2024-06-05,19.2,42.6,27.2988,0.09677515,1641
2024-01-15,10.2,46.8,19.726274,0.7004137,545
2024-10-27,45.9,74.5,8.980146,0.79006153,342
2024-03-05,37.8,-117.8,18.595266,0.61433005,2149
2024-12-10,-18.7,-56.8,22.622902,0.796891,104
2024-11-22,26.3,49.6,15.348801,0.55783033,50
2024-01-09,22.5,54.4,17.473804,0.0,121
2024-12-09,56.5,155.8,1.71278275,0.9681452,0
2024-05-08,8.7,-75.1,12.739451,0.9259929,17
2024-05-15,32.3,-111.0,28.118132,0.24293093,866
2024-03-03,60.4,114.8,7.3267855,0.942702,403
2024-05-18,0.8,17.4,19.857118,0.6215907,324
2024-03-21,21.8,-3.5,25.191212,0.017655315,295
2024-06-11,47.6,34.5,24.51302,0.4542015,15
2024-10-15,17.7,36.3,22.67888,0.0887391,662
2024-09-17,-2.5,38.7,19.64681,0.4280151,367
2024-08-18,62.1,54.7,16.444117,0.44208187,160
2024-02-10,60.2,5.3,3.35001575,0.96269894,26
2024-01-28,-28.7,-57.1,25.941968,0.14565957,70
2024-05-14,48.7,95.0,20.120236,0.9070891,1736
2024-07-19,39.8,95.6,23.138936,0.6063392,2847
2024-11-23,-0.7,30.2,15.01269,0.81068796,1575
2024-02-02,18.2,76.4,20.418546,0.06343295,643
2024-02-17,36.5,77.6,18.38803,0.56739277,5363
2024-03-02,68.9,78.8,3.291297,0.9541785,68
2024-08-03,67.5,-159.3,13.599046,0.9300227,548
2024-10-19,5.8,125.4,18.231186,0.9629246,627
2024-04-08,-3.3,-72.1,19.927654,0.72571546,106
2024-06-20,8.4,2.0,20.580716,0.5710049,238
2024-12-25,19.4,20.0,18.615438,0.25942525,486
2024-08-01,26.2,33.1,27.574188,0.0032458566,311
2024-02-04,-49.3,-68.1,8.373432,0.85308194,241
2024-08-14,67.6,63.4,7.5084455,0.9683618,172
2024-04-10,-2.4,12.5,16.474898,0.87482923,656
2024-05-10,67.4,-149.0,18.732952,0.71205753,1147
2024-09-13,-3.4,23.4,20.573958,0.46275362,498
2024-01-05,23.5,17.6,17.236264,0.18276039,557
2024-08-05,6.5,-4.9,13.570189,0.74569243,125
2024-09-11,68.3,-35.8,14.075655,0.36686707,2799
2024-12-24,49.4,29.3,1.52267575,0.96461546,258
2024-10-09,34.2,92.3,20.317616,0.30329397,4684
2024-07-25,-33.9,140.6,10.441863,0.5366598,56
2024-01-15,33.6,-103.9,13.974262,0.3136286,1231
2024-12-11,-21.6,-62.0,20.509906,0.90118134,248
2024-02-11,-25.0,118.0,29.636022,0.022895394,457
2024-06-27,35.9,8.8,27.165978,0.13420005,664
2024-03-03,66.8,-142.6,5.36368,0.87079096,474
2024-12-17,-12.3,-41.2,24.054036,0.6051061,563
2024-08-18,63.7,43.8,6.3135405,0.95974505,142
2024-08-28,22.0,21.3,21.53719,0.5575495,534
2024-02-21,78.2,-26.5,0.0594902109375,0.7383462,1152
2024-04-05,25.1,7.1,26.846424,0.07042145,1123
2024-08-09,-24.2,22.7,19.267998,0.0097040245,1085
2024-08-18,16.8,-97.8,23.395258,0.6810131,892
2024-08-24,-55.3,-69.0,4.9386445,0.95527065,140
2024-05-22,-7.6,24.1,21.197002,0.33227512,892
2024-06-19,17.7,1.4,26.532696,0.13663322,403
2024-01-29,34.0,71.1,7.6218425,0.57690114,1363
2024-02-05,36.6,109.0,13.193384,0.644805,1343
2024-01-13,57.7,68.2,1.534274875,0.9141361,56
2024-06-08,67.2,150.8,27.129216,0.32875383,50
2024-11-22,39.4,-99.7,10.404719,0.35116345,659
2024-07-05,15.2,43.2,15.518505,0.6540809,139
2024-08-30,57.8,161.7,10.272771,0.91284317,39
2024-03-26,20.0,-5.4,25.19629,0.6506737,300
2024-10-10,21.6,94.6,14.605555,0.7218155,267
2024-03-06,-6.0,-79.3,16.510318,0.877301,1812
