points_x,Solar_Radiation_Flux,crs_x,lat,lon,time,points_y,Cloud_Cover_Mean_24h,crs_y,elevation
0,21410544.0,1,-25.999999999993406,16.49999999998883,2024-04-12,0,0.15548016,1,1742
1,1280718.9,1,57.900000000001825,71.89999999998568,2024-12-14,1,0.9010075,1,109
2,11681878.0,1,-8.299999999994412,-72.6000000000061,2024-09-27,2,0.9173083,1,218
3,27542588.0,1,34.300000000003166,-1.5000000000101466,2024-04-16,3,0.021619882,1,1145
4,17967862.0,1,-11.699999999994219,26.999999999988233,2024-03-12,4,0.8965412,1,1359
5,14214847.0,1,35.70000000000309,113.39999999998332,2024-07-07,5,0.82544065,1,1346
6,5598899.0,1,51.3000000000022,72.39999999998565,2024-01-21,6,0.22590053,1,404
7,16735529.0,1,62.50000000000156,-129.60000000000286,2024-04-12,7,0.8178679,1,1305
8,27249542.0,1,17.200000000004138,-11.500000000009578,2024-05-01,8,0.036690075,1,197
9,16949676.0,1,-27.099999999993344,152.09999999998115,2024-08-02,9,0.06247301,1,418
10,5413745.0,1,48.80000000000234,116.19999999998316,2024-11-26,10,0.7144554,1,829
11,19475354.0,1,-18.19999999999385,36.69999999998768,2024-03-28,11,0.44535974,1,6
12,6181224.0,1,-44.79999999999234,169.59999999998013,2024-04-09,12,0.7798704,1,737
13,32229358.0,1,-39.899999999992616,-65.6000000000065,2024-12-25,13,0.027533973,1,179
14,4338035.5,1,-43.89999999999239,-67.4000000000064,2024-05-31,14,0.6937158,1,267
15,13842580.0,1,-32.59999999999303,140.29999999998176,2024-05-10,15,0.1268884,1,279
16,18416158.0,1,-5.599999999994566,-52.700000000007236,2024-05-29,16,0.87611663,1,191
17,19326392.0,1,22.10000000000386,-84.60000000000542,2024-11-04,17,0.10275792,1,1
18,10404650.0,1,53.500000000002075,95.59999999998433,2024-09-14,18,0.9116916,1,1222
19,3360077.2,1,52.50000000000213,60.59999999998632,2024-12-09,19,0.51198804,1,326
20,20375598.0,1,13.700000000004337,34.5999999999878,2024-10-20,20,0.7483723,1,442
21,19742186.0,1,64.90000000000143,14.39999999998895,2024-07-10,21,0.81155586,1,651
22,8790923.0,1,56.6000000000019,135.59999999998206,2024-10-03,22,0.44829503,1,467
23,23446716.0,1,50.000000000002274,51.19999999998686,2024-06-09,23,0.4027496,1,10
24,14339907.0,1,23.00000000000381,105.79999999998375,2024-11-09,24,0.38642156,1,636
25,23905596.0,1,-11.399999999994236,-49.30000000000743,2024-01-22,25,0.7714218,1,274
26,20860318.0,1,3.8000000000049,-66.70000000000644,2024-09-09,26,0.7459225,1,129
27,16880254.0,1,60.50000000000168,165.2999999999804,2024-08-23,27,0.2605693,1,293
28,6899061.0,1,41.50000000000276,116.59999999998314,2024-12-10,28,0.70691407,1,1293
29,7029377.5,1,52.00000000000216,85.5999999999849,2024-02-18,29,0.96739787,1,325
30,27256230.0,1,-26.0999999999934,16.799999999988813,2024-02-28,30,0.16178405,1,1414
31,26910652.0,1,43.50000000000264,-108.70000000000405,2024-06-18,31,0.38442084,1,2335
32,19727962.0,1,-15.399999999994009,16.599999999988825,2024-07-06,32,0.010220024,1,1356
33,12782638.0,1,43.100000000002666,94.19999999998441,2024-09-27,33,0.7589675,1,3276
34,20569894.0,1,4.900000000004837,118.09999999998308,2024-07-08,34,0.92911357,1,277
35,9040588.0,1,60.50000000000168,103.59999999998388,2024-06-23,35,0.8498871,1,368
36,9862878.0,1,-10.299999999994299,-58.000000000006935,2024-02-20,36,0.9744463,1,348
37,23982544.0,1,9.700000000004565,39.39999999998753,2024-12-29,37,0.24154994,1,2644
38,14539239.0,1,44.3000000000026,-100.8000000000045,2024-02-24,38,0.20772812,1,585
39,6530743.5,1,27.300000000003564,95.59999999998433,2024-08-31,39,0.9883515,1,162
40,18796228.0,1,-1.4999999999947988,121.2999999999829,2024-11-15,40,0.835101,1,1111
41,21812004.0,1,81.80000000000047,-55.30000000000709,2024-05-10,41,0.8032522,1,653
42,4100603.8,1,51.3000000000022,-73.80000000000604,2024-11-02,42,0.9169792,1,383
43,22673954.0,1,22.30000000000385,90.39999999998463,2024-05-14,43,0.17226088,1,5
44,17020326.0,1,20.50000000000395,44.199999999987256,2024-01-21,44,0.07853249,1,756
45,0.0,1,80.20000000000056,-45.30000000000766,2024-11-24,45,0.91115135,1,2034
46,30852694.0,1,37.70000000000297,30.499999999988034,2024-06-15,46,0.06712601,1,1371
47,22450118.0,1,3.1000000000049397,-57.00000000000699,2024-09-30,47,0.48188108,1,242
48,19483546.0,1,43.300000000002655,101.19999999998402,2024-03-29,48,0.40797645,1,1504
49,3034425.5,1,59.300000000001745,40.89999999998744,2024-11-11,49,0.40307996,1,152
50,0.0,1,76.60000000000076,-80.40000000000566,2024-01-14,50,0.29018825,1,624
51,22789230.0,1,-17.99999999999386,22.99999999998846,2024-08-29,51,0.0030721833,1,985
52,23002556.0,1,0.10000000000511022,-57.60000000000696,2024-09-21,52,0.5487738,1,174
53,10524520.0,1,29.200000000003456,3.399999999989575,2024-12-11,53,0.58882046,1,419
54,18668586.0,1,33.00000000000324,-113.00000000000381,2024-02-22,54,0.5677416,1,237
55,4082514.2,1,45.70000000000252,-73.10000000000608,2024-12-05,55,0.84021634,1,32
56,24289868.0,1,11.300000000004474,-12.900000000009499,2024-04-01,56,0.24188799,1,767
57,17419254.0,1,49.00000000000233,20.69999999998859,2024-09-20,57,0.06820737,1,778
58,7441658.5,1,52.600000000002126,115.5999999999832,2024-02-04,58,0.2861926,1,864
59,14920411.0,1,-3.8999999999946624,-73.80000000000604,2024-07-24,59,0.6072265,1,122
60,23736534.0,1,32.400000000003274,-108.40000000000407,2024-03-21,60,0.0845564,1,1774
61,24226394.0,1,-13.999999999994088,32.8999999999879,2024-02-19,61,0.34977666,1,1072
62,76710.35,1,67.2000000000013,169.79999999998012,2024-12-25,62,0.26478028,1,691
63,4543789.0,1,50.20000000000226,-113.30000000000379,2024-01-02,63,0.66627145,1,965
64,20349328.0,1,22.10000000000386,-100.10000000000454,2024-02-23,64,0.5439367,1,1048
65,27694082.0,1,21.600000000003888,2.2999999999896374,2024-04-15,65,0.17140506,1,470
66,17332302.0,1,-15.19999999999402,-39.40000000000799,2024-09-16,66,0.43277633,1,312
67,9415533.0,1,28.500000000003496,-97.50000000000469,2024-11-05,67,0.36957216,1,57
68,27221338.0,1,45.80000000000251,11.599999999989109,2024-07-09,68,0.24406934,1,907
69,6651223.0,1,54.800000000002,56.39999999998656,2024-08-05,69,0.71114033,1,145
70,11823370.0,1,44.40000000000259,-118.90000000000347,2024-02-13,70,0.090152584,1,1178
71,15445551.0,1,70.90000000000109,74.09999999998556,2024-06-10,71,0.9085217,1,50
72,23065196.0,1,39.0000000000029,-83.3000000000055,2024-07-20,72,0.42919308,1,291
73,15290684.0,1,13.000000000004377,79.09999999998524,2024-09-26,73,0.939891,1,368
74,9833762.0,1,38.700000000002916,102.6999999999839,2024-12-16,74,0.15087996,1,1366
75,17618280.0,1,29.000000000003467,30.099999999988057,2024-10-30,75,0.020434927,1,91
76,7565979.5,1,61.9000000000016,5.7999999999894385,2024-09-27,76,0.722631,1,373
77,23400446.0,1,-7.199999999994475,30.999999999988006,2024-08-02,77,0.056399107,1,1359
78,19858654.0,1,7.900000000004667,123.8999999999827,2024-09-08,78,0.5835746,1,407
79,27206650.0,1,52.100000000002154,-114.30000000000373,2024-07-08,79,0.26579475,1,953
80,2477960.5,1,65.70000000000138,20.599999999988597,2024-10-22,80,0.6084063,1,153
81,19732138.0,1,1.600000000005025,-66.50000000000645,2024-07-31,81,0.59002644,1,105
82,15633767.0,1,13.600000000004343,-10.40000000000964,2024-07-26,82,0.7988139,1,236
83,17371132.0,1,-9.199999999994361,-58.50000000000691,2024-08-24,83,0.26215956,1,253
84,20314830.0,1,16.400000000004184,13.099999999989024,2024-12-03,84,0.24769162,1,405
85,12539550.0,1,49.6000000000023,117.09999999998308,2024-02-22,85,0.0026401542,1,772
86,22246854.0,1,-36.09999999999283,-59.70000000000684,2024-10-06,86,0.70665306,1,53
87,12359248.0,1,56.80000000000189,104.29999999998381,2024-08-04,87,0.6735504,1,540
88,20900612.0,1,46.50000000000247,-100.00000000000455,2024-09-08,88,0.14536606,1,587
89,16115785.0,1,-1.9999999999947704,116.29999999998313,2024-07-06,89,0.7477083,1,15
90,30049116.0,1,-29.199999999993224,26.69999999998825,2024-02-10,90,0.1405622,1,1418
91,27298800.0,1,19.200000000004025,42.59999999998735,2024-06-05,91,0.09677515,1,1641
92,19726274.0,1,10.200000000004536,46.79999999998711,2024-01-15,92,0.7004137,1,545
93,8980146.0,1,45.90000000000251,74.49999999998553,2024-10-27,93,0.79006153,1,342
94,18595266.0,1,37.80000000000297,-117.80000000000354,2024-03-05,94,0.61433005,1,2149
